photon_energy_eV,absorption_length_mm
1.0,732.3
1.05,732.3
1.1,732.3
1.15,732.3
1.2,732.3
1.25,732.3
1.3,732.3
1.35,732.3
1.4,732.3
1.45,732.3
1.5,732.3
1.55,732.3
1.6,732.3
1.65,732.3
1.7,713.01
1.75,669.93
1.8,618.35
1.85,570.75
1.9,545.9
1.95,522.14
2.0,494.98
2.05,469.24
2.1,440.89
2.15,433.11
2.2,414.26
2.25,392.71
2.3,368.99
2.35,343.62
2.4,334.57
2.45,320.0
2.5,303.36
2.55,282.51
2.6,263.09
2.65,256.16
2.7,245.01
2.75,228.16
2.8,208.73
2.85,182.64
2.9,159.81
2.95,130.22
3.0,80.52
3.05,55.41
3.1,54.43
