photon_energy_eV,relative_intensity
1.0,0.0
1.05,0.0
1.1,0.0
1.15,0.0
1.2,0.0
1.25,0.0
1.3,0.0
1.35,0.0
1.4,0.0
1.45,0.0
1.5,0.0
1.55,0.0
1.6,0.0
1.65,0.0
1.7,0.0
1.75,0.0
1.8,0.0
1.85,0.058
1.9,0.1237
1.95,0.2126
2.0,0.3267
2.05,0.4021
2.1,0.5142
2.15,0.6108
2.2,0.6804
2.25,0.7771
2.3,0.8389
2.35,0.8544
2.4,0.8602
2.45,0.8003
2.5,0.7539
2.55,0.6495
2.6,0.549
2.65,0.4253
2.7,0.3441
2.75,0.2668
2.8,0.2126
2.85,0.1546
2.9,0.116
2.95,0.0773
3.0,0.0541
3.05,0.0271
3.1,0.0116
3.15,1.0709
3.2,0.9356
3.25,0.8563
3.3,0.8621
3.35,0.8621
3.4,0.8621
3.45,0.8621
3.5,0.8621
3.55,0.8621
3.6,0.8621
3.65,0.0
3.7,0.0
3.75,0.0
3.8,0.0
3.85,0.0
3.9,0.0
3.95,0.0
4.0,0.0
