run_id,x_mm,y_mm,z_mm,n_emitted,n_detected,efficiency
0,-4.5,-4.5,-4.5,50000,5470,0.1094
1,-4.5,-4.5,-3.0,50000,5625,0.1125
2,-4.5,-4.5,-1.5,50000,5796,0.11592
3,-4.5,-4.5,0.0,50000,5681,0.11362
4,-4.5,-4.5,1.5,50000,5657,0.11314
5,-4.5,-4.5,3.0,50000,5484,0.10968
6,-4.5,-4.5,4.5,50000,5489,0.10978
7,-4.5,-3.0,-4.5,50000,5605,0.1121
8,-4.5,-3.0,-3.0,50000,5699,0.11398
9,-4.5,-3.0,-1.5,50000,5618,0.11236
10,-4.5,-3.0,0.0,50000,5730,0.1146
11,-4.5,-3.0,1.5,50000,5712,0.11424
12,-4.5,-3.0,3.0,50000,5755,0.1151
13,-4.5,-3.0,4.5,50000,5636,0.11272
14,-4.5,-1.5,-4.5,50000,5708,0.11416
15,-4.5,-1.5,-3.0,50000,5762,0.11524
16,-4.5,-1.5,-1.5,50000,5797,0.11594
17,-4.5,-1.5,0.0,50000,5963,0.11926
18,-4.5,-1.5,1.5,50000,5812,0.11624
19,-4.5,-1.5,3.0,50000,5618,0.11236
20,-4.5,-1.5,4.5,50000,5698,0.11396
21,-4.5,0.0,-4.5,50000,5844,0.11688
22,-4.5,0.0,-3.0,50000,5932,0.11864
23,-4.5,0.0,-1.5,50000,6114,0.12228
24,-4.5,0.0,0.0,50000,6192,0.12384
25,-4.5,0.0,1.5,50000,6032,0.12064
26,-4.5,0.0,3.0,50000,5926,0.11852
27,-4.5,0.0,4.5,50000,5723,0.11446
28,-4.5,1.5,-4.5,50000,5672,0.11344
29,-4.5,1.5,-3.0,50000,5945,0.1189
30,-4.5,1.5,-1.5,50000,6241,0.12482
31,-4.5,1.5,0.0,50000,6216,0.12432
32,-4.5,1.5,1.5,50000,6194,0.12388
33,-4.5,1.5,3.0,50000,5881,0.11762
34,-4.5,1.5,4.5,50000,5663,0.11326
35,-4.5,3.0,-4.5,50000,4954,0.09908
36,-4.5,3.0,-3.0,50000,5340,0.1068
37,-4.5,3.0,-1.5,50000,5937,0.11874
38,-4.5,3.0,0.0,50000,6151,0.12302
39,-4.5,3.0,1.5,50000,5863,0.11726
40,-4.5,3.0,3.0,50000,5265,0.1053
41,-4.5,3.0,4.5,50000,4874,0.09748
42,-4.5,4.5,-4.5,50000,3107,0.06214
43,-4.5,4.5,-3.0,50000,3531,0.07062
44,-4.5,4.5,-1.5,50000,3838,0.07676
45,-4.5,4.5,0.0,50000,3928,0.07856
46,-4.5,4.5,1.5,50000,3817,0.07634
47,-4.5,4.5,3.0,50000,3494,0.06988
48,-4.5,4.5,4.5,50000,3109,0.06218
49,-3.0,-4.5,-4.5,50000,5495,0.1099
50,-3.0,-4.5,-3.0,50000,5680,0.1136
51,-3.0,-4.5,-1.5,50000,5723,0.11446
52,-3.0,-4.5,0.0,50000,5829,0.11658
53,-3.0,-4.5,1.5,50000,5749,0.11498
54,-3.0,-4.5,3.0,50000,5781,0.11562
55,-3.0,-4.5,4.5,50000,5521,0.11042
56,-3.0,-3.0,-4.5,50000,5789,0.11578
57,-3.0,-3.0,-3.0,50000,5750,0.115
58,-3.0,-3.0,-1.5,50000,5890,0.1178
59,-3.0,-3.0,0.0,50000,5776,0.11552
60,-3.0,-3.0,1.5,50000,5722,0.11444
61,-3.0,-3.0,3.0,50000,5787,0.11574
62,-3.0,-3.0,4.5,50000,5603,0.11206
63,-3.0,-1.5,-4.5,50000,5819,0.11638
64,-3.0,-1.5,-3.0,50000,5843,0.11686
65,-3.0,-1.5,-1.5,50000,6005,0.1201
66,-3.0,-1.5,0.0,50000,5933,0.11866
67,-3.0,-1.5,1.5,50000,5933,0.11866
68,-3.0,-1.5,3.0,50000,5868,0.11736
69,-3.0,-1.5,4.5,50000,5714,0.11428
70,-3.0,0.0,-4.5,50000,5828,0.11656
71,-3.0,0.0,-3.0,50000,5879,0.11758
72,-3.0,0.0,-1.5,50000,6226,0.12452
73,-3.0,0.0,0.0,50000,6381,0.12762
74,-3.0,0.0,1.5,50000,6206,0.12412
75,-3.0,0.0,3.0,50000,5923,0.11846
76,-3.0,0.0,4.5,50000,5837,0.11674
